# File Name: /Volumes/SHARED/Mallory/data/2023/12-23/IAV_burstsize_12-11-23/burstsize_ost_qs3_2023-12-13-112357_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 272321126
# Instrument Serial Number: 272321126
# Heated Cover Serial Number:
# Block Serial Number: 33160298
# Run Start Date/Time: 2023-12-13 11:54:12 AM CST
# Run End Date/Time: 2023-12-13 01:49:43 PM CST
# Run Duration: 115 minutes 30 seconds
# Sample Volume: 25.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-12-14 11:36:34 AM CST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2024-03-13 11:36:12 AM CDT
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"13","B1","20","Target 1","2.5738494396209717","2.3138025581836703","m gene 10^7","false"
"13","B1","21","Target 1","2.7263710498809814","2.463713711500168","m gene 10^7","false"
"13","B1","22","Target 1","2.8424994945526123","2.577231699228287","m gene 10^7","false"
"13","B1","23","Target 1","2.9272372722625732","2.659359019994736","m gene 10^7","false"
"13","B1","24","Target 1","2.982865571975708","2.7123768627643585","m gene 10^7","false"
"13","B1","25","Target 1","3.027527093887329","2.754427927732468","m gene 10^7","false"
"13","B1","26","Target 1","3.059375762939453","2.78366613984108","m gene 10^7","false"
"13","B1","27","Target 1","3.0854249000549316","2.8071048200130466","m gene 10^7","false"
"13","B1","28","Target 1","3.101389169692993","2.820458632707596","m gene 10^7","false"
"13","B1","29","Target 1","3.1150829792022705","2.831541985273361","m gene 10^7","false"
"13","B1","30","Target 1","3.127619504928589","2.841468054056168","m gene 10^7","false"
"13","B1","31","Target 1","3.137847900390625","2.849085992574692","m gene 10^7","false"
"13","B1","32","Target 1","3.1500542163848877","2.858681851625443","m gene 10^7","false"
"13","B1","33","Target 1","3.1603543758392334","2.8663715541362764","m gene 10^7","false"
"13","B1","34","Target 1","3.1625397205352783","2.865946441888809","m gene 10^7","false"
"13","B1","35","Target 1","3.17026948928833","2.8710657536983493","m gene 10^7","false"
"13","B1","36","Target 1","3.1814565658569336","2.8796423733234406","m gene 10^7","false"
"13","B1","37","Target 1","3.1877403259277344","2.8833156764507297","m gene 10^7","false"
"13","B1","38","Target 1","3.1978070735931396","2.890771967172623","m gene 10^7","false"
"13","B1","39","Target 1","3.1974146366119385","2.8877690732479095","m gene 10^7","false"
"13","B1","40","Target 1","3.1987719535827637","2.886515933275223","m gene 10^7","false"
"14","B2","1","Target 1","0.24580717086791992","0.0023687522153596732","+ost 0 hpi","false"
"14","B2","2","Target 1","0.24616360664367676","0.002352727627432019","+ost 0 hpi","false"
"14","B2","3","Target 1","0.2466737926006317","0.0024904532207025124","+ost 0 hpi","false"
"14","B2","4","Target 1","0.24740825593471527","0.002852456191101579","+ost 0 hpi","false"
"14","B2","5","Target 1","0.24671423435211182","0.001785974244813662","+ost 0 hpi","false"
"14","B2","6","Target 1","0.24672770500183105","0.0014269845308484378","+ost 0 hpi","false"
"14","B2","7","Target 1","0.2470356673002243","0.001362486465557197","+ost 0 hpi","false"
"14","B2","8","Target 1","0.24711334705352783","0.0010677058551762622","+ost 0 hpi","false"
"14","B2","9","Target 1","0.24720391631126404","7.85814749227978E-4","+ost 0 hpi","false"
"14","B2","10","Target 1","0.24750204384326935","7.114819175488255E-4","+ost 0 hpi","false"
"14","B2","11","Target 1","0.24765613675117493","4.931144617699415E-4","+ost 0 hpi","false"
"14","B2","12","Target 1","0.24767741560935974","1.4193295627026571E-4","+ost 0 hpi","false"
"14","B2","13","Target 1","0.24768215417861938","-2.257888381545533E-4","+ost 0 hpi","false"
"14","B2","14","Target 1","0.24784134328365326","-4.390600968051691E-4","+ost 0 hpi","false"
"14","B2","15","Target 1","0.24681486189365387","-0.0018380018504890214","+ost 0 hpi","false"
"14","B2","16","Target 1","0.24720484018325806","-0.001820483924569297","+ost 0 hpi","false"
"14","B2","17","Target 1","0.2487023025751114","-6.954818964004547E-4","+ost 0 hpi","false"
"14","B2","18","Target 1","0.24842698872089386","-0.0013432561143024743","+ost 0 hpi","false"
"14","B2","19","Target 1","0.24848811328411102","-0.001654591914769746","+ost 0 hpi","false"
"14","B2","20","Target 1","0.2494455873966217","-0.0010695781659435552","+ost 0 hpi","false"
"14","B2","21","Target 1","0.2500859797000885","-8.016462261612486E-4","+ost 0 hpi","false"
"14","B2","22","Target 1","0.24932144582271576","-0.0019386404672184251","+ost 0 hpi","false"
"14","B2","23","Target 1","0.24945752322673798","-0.0021750234268806986","+ost 0 hpi","false"
"14","B2","24","Target 1","0.250456839799881","-0.0015481672174221836","+ost 0 hpi","false"
"14","B2","25","Target 1","0.2503550946712494","-0.0020223727097382657","+ost 0 hpi","false"
"14","B2","26","Target 1","0.25047868490219116","-0.002271242842480928","+ost 0 hpi","false"
"14","B2","27","Target 1","0.2513578534126282","-0.0017645346957284066","+ost 0 hpi","false"
"14","B2","28","Target 1","0.25168535113334656","-0.0018094973386945132","+ost 0 hpi","false"
"14","B2","29","Target 1","0.25223663449287415","-0.00163067434285136","+ost 0 hpi","false"
"14","B2","30","Target 1","0.2527436912059784","-0.0014960779934316023","+ost 0 hpi","false"
"14","B2","31","Target 1","0.25317317247390747","-0.0014390570891870155","+ost 0 hpi","false"
"14","B2","32","Target 1","0.2537662088871002","-0.0012184810396787568","+ost 0 hpi","false"
"14","B2","33","Target 1","0.2550288438796997","-3.2830641076370424E-4","+ost 0 hpi","false"
"14","B2","34","Target 1","0.25603872537612915","3.091147219812488E-4","+ost 0 hpi","false"
"14","B2","35","Target 1","0.25677490234375","6.72831325917608E-4","+ost 0 hpi","false"
"14","B2","36","Target 1","0.25860607624053955","0.002131544859022724","+ost 0 hpi","false"
"14","B2","37","Target 1","0.2593510150909424","0.0025040233457410657","+ost 0 hpi","false"
"14","B2","38","Target 1","0.26159247756004333","0.004373025451157528","+ost 0 hpi","false"
"14","B2","39","Target 1","0.2640129327774048","0.006421020304834543","+ost 0 hpi","false"
"14","B2","40","Target 1","0.2670217454433441","0.009057372607089383","+ost 0 hpi","false"
"15","B3","1","Target 1","0.23804786801338196","0.0025113755837082793","- ost 0 hpi","false"
"15","B3","2","Target 1","0.23829033970832825","0.0024258273263131555","- ost 0 hpi","false"
"15","B3","3","Target 1","0.2389550805091858","0.002762548174829259","- ost 0 hpi","false"
"15","B3","4","Target 1","0.23888511955738068","0.0023645672706827034","- ost 0 hpi","false"
"15","B3","5","Target 1","0.2381424605846405","0.0012938883456010892","- ost 0 hpi","false"
