# File Name: /Volumes/SHARED/Mallory/data/2023/12-23/IAV_burstsize_12-11-23/burstsize_ost_qs3_2023-12-13-112357_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 272321126
# Instrument Serial Number: 272321126
# Heated Cover Serial Number:
# Block Serial Number: 33160298
# Run Start Date/Time: 2023-12-13 11:54:12 AM CST
# Run End Date/Time: 2023-12-13 01:49:43 PM CST
# Run Duration: 115 minutes 30 seconds
# Sample Volume: 25.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-12-14 11:36:34 AM CST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2024-03-13 11:36:13 AM CDT
"Well","Well Position","Cycle Number","FAM","ROX"
"28","C4","19","110783.49","409409.34"
"28","C4","20","110889.73","409223.06"
"28","C4","21","110989.945","409732.4"
"28","C4","22","111179.125","410017.38"
"28","C4","23","111641.76","409303.16"
"28","C4","24","111789.96","409148.72"
"28","C4","25","112320.31","409571.62"
"28","C4","26","112287.45","408904.88"
"28","C4","27","112232.734","408844.2"
"28","C4","28","112658.125","409707.56"
"28","C4","29","112731.17","409445.5"
"28","C4","30","112602.03","408980.8"
"28","C4","31","112595.766","408054.53"
"28","C4","32","112541.93","407849.97"
"28","C4","33","112838.59","408125.97"
"28","C4","34","113007.66","407750.25"
"28","C4","35","112699.76","407098.12"
"28","C4","36","112546.16","406909.9"
"28","C4","37","112762.78","406823.56"
"28","C4","38","112776.33","406856.72"
"28","C4","39","112754.17","407068.3"
"28","C4","40","112861.625","407459.6"
"28","C4","41","113841.19","409023.72"
"37","D1","1","76986.484","294708.56"
"37","D1","2","94105.09","434638.47"
"37","D1","3","94533.766","434459.5"
"37","D1","4","94888.26","434198.4"
"37","D1","5","94890.12","433623.38"
"37","D1","6","95011.01","432672.75"
"37","D1","7","95086.664","431877.0"
"37","D1","8","95233.125","431253.22"
"37","D1","9","95311.65","430378.56"
"37","D1","10","95359.24","429701.75"
"37","D1","11","95670.3","429229.3"
"37","D1","12","95921.695","428704.5"
"37","D1","13","96085.695","428141.62"
"37","D1","14","96705.72","427742.1"
"37","D1","15","97765.445","427448.28"
"37","D1","16","99714.11","426949.62"
"37","D1","17","103144.375","425985.25"
"37","D1","18","109698.36","425497.2"
"37","D1","19","123036.414","425164.2"
"37","D1","20","146646.19","424814.9"
"37","D1","21","188353.73","424278.97"
"37","D1","22","256313.28","423535.28"
"37","D1","23","355429.7","423055.53"
"37","D1","24","482781.34","422380.7"
"37","D1","25","625610.75","422144.25"
"37","D1","26","765540.9","422352.0"
"37","D1","27","890049.94","422219.5"
"37","D1","28","994375.5","421678.72"
"37","D1","29","1079439.5","421006.06"
"37","D1","30","1142974.1","420345.84"
"37","D1","31","1190433.2","420167.47"
"37","D1","32","1227827.6","420267.53"
"37","D1","33","1255766.0","419906.44"
"37","D1","34","1275936.2","419729.88"
"37","D1","35","1292730.5","419727.1"
"37","D1","36","1300778.8","419547.4"
"37","D1","37","1309368.6","419039.94"
"37","D1","38","1311600.4","418661.72"
"37","D1","39","1314450.2","418655.88"
